ticker,name,universe,category,metric_1,metric_2,metric_3,score,last_updated
HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
IROBOT,"Isaac Asimov - I, Robot (First Edition)",alternative_assets,books,,0.0,0.45,0.0,2026-08-03
JEKYLL,Dr. Jekyll and Mr. Hyde (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
KARUIZAWA,Karuizawa Aqua of Life 50-Year-Old Whisky,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-03
KELLER,Helen Keller 1892 Book (Inscribed),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
KEROUAC,Jack Kerouac - On the Road (Signed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
LOTF,William Golding - Lord of the Flies (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
LOTR,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
MACALLAN1,Macallan 30-Year-Old Blue Label Scotch Whisky,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-03
MACALLAN2,Macallan 40-Year-Old Whisky,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-03
MACALLAN3,1938 Macallan Red Ribbon Whisky,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-03
MARX,Karl Marx - Das Kapital (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
MEGALODON,Megalodon Fossil,alternative_assets,fossils,,0.0,0.45,0.0,2026-08-03
MOBYDICK,Herman Melville - Moby-Dick (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
MOSASAUR,Mosasaur,alternative_assets,fossils,,0.0,0.45,0.0,2026-08-03
NEWTON,Isaac Newton - Principia (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
NEWWORLD,Aldous Huxley - Brave New World (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
PAPPY1,Pappy Van Winkle Bourbon Assortment,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-08-03
PICNIC,Hermès 35cm Picnic Kelly,alternative_assets,handbags,,0.0,0.45,0.0,2026-08-03
RABBIT,The Tale of Peter Rabbit (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,alternative_assets,watches,,0.0,0.45,0.0,2026-08-03
RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,alternative_assets,watches,,0.0,0.45,0.0,2026-08-03
ROOSEVELT,Theodore Roosevelt - African Game Trails (Signed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
SHKSPR4,"Shakespeare - Comedies, Histories & Tragedies",alternative_assets,books,,0.0,0.45,0.0,2026-08-03
SMURF,Rolex Submariner Smurf,alternative_assets,watches,,0.0,0.45,0.0,2026-08-03
SNOOPY,Omega Speedmaster Silver Snoopy,alternative_assets,watches,,0.0,0.45,0.0,2026-08-03
SOBLACK,Hermès 30cm So Black Birkin,alternative_assets,handbags,,0.0,0.45,0.0,2026-08-03
STEG,BCQ-24 Stegosaurus Skeleton,alternative_assets,fossils,,0.0,0.45,0.0,2026-08-03
TKAM,Harper Lee - To Kill a Mockingbird (Signed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
TORNEK,Tornek-Rayville TR-900,alternative_assets,watches,,0.0,0.45,0.0,2026-08-03
TREASURE,Treasure Island (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
TWOCITIES,Charles Dickens - A Tale of Two Cities (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
ULYSSES,James Joyce - Ulysses (Matisse Signed),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
WALDEN,Henry David Thoreau - Walden (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
WILDTHING,Where the Wild Things Are (Inscribed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
WZRDOFOZ,The Wonderful Wizard of Oz (First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
YOKO,Yoko Ono - Grapefruit (Signed First Edition),alternative_assets,books,,0.0,0.45,0.0,2026-08-03
93XJ1,1993 Jaguar XJ220,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
83FB1,1983 Ferrari 512 BBi,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
63CC1,1963 Chevrolet Corvette Split Window,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
65FM1,1965 Mustang Fastback,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
55PS1,1955 Porsche 356 Speedster,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
65AG1,1965 Alfa Romeo Giulia SS,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
82AV1,1982 Aston Martin V8 Vantage Oscar India,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
94FS1,1994 Ferrari 348 Spider,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
94DV1,1994 Dodge Viper RT/10,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
99SS1,1999 Shelby Series 1,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
69BM1,1969 Boss 302 Mustang,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
92LD1,1992 Lancia Delta Martini 5,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
92CC1,1992 Chevrolet Corvette ZR-1,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
61JE1,1961 Jaguar E-Type,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
61MG1,1961 Maserati 3500 GT,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
72MC1,1972 Mazda Cosmo Sport,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
91MV1,1991 Mitsubishi 3000GT VR-4,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
75RA1,1975 Renault Alpine A110,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
77LE1,1977 Lotus Esprit S1,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
11BM1,2011 BMW 1M,alternative_assets,cars,,0.0,0.45,0.0,2026-08-03
CATCHER,J.D. Salinger's The Catcher in the Rye,alternative_assets,books,,0.0,0.45,0.0,2026-08-03
EINSTEIN,"Albert Einstein's Philosopher-Scientist, Signed First Edition",alternative_assets,books,,0.0,0.45,0.0,2026-08-03
FEDERAL,"Hamilton, Madison, and Jay's The Federalist, First Edition",alternative_assets,books,,0.0,0.45,0.0,2026-08-03
HOBBIT,"J.R.R. Tolkien's The Hobbit, First Edition",alternative_assets,books,,0.0,0.45,0.0,2026-08-03
POTTER,J.K. Rowling's Harry Potter and the Philosopher's Stone,alternative_assets,books,,0.0,0.45,0.0,2026-08-03
WARHOL1,"1967 Andy Warhol Marilyn Monroe Print, Signed",alternative_assets,art,,0.0,0.45,0.0,2026-08-03
GRATEFUL1,1966 Grateful Dead Skeleton and Roses Poster,alternative_assets,art,,0.0,0.45,0.0,2026-08-03
WARHOL2,"1969 Andy Warhol Campbell’s Soup Print, Signed",alternative_assets,art,,0.0,0.45,0.0,2026-08-03
SACHS1,Tom Sachs Rocket Factory “Game Changer”,alternative_assets,art,,0.0,0.45,0.0,2026-08-03
ANDYPELE,1977 Andy Warhol Pelé Polaroid,alternative_assets,art,,0.0,0.45,0.0,2026-08-03
HIRST1,"Damien Hirst, The Currency, Painting",alternative_assets,art,,0.0,0.45,0.0,2026-08-03
GOLD1,172 GM Gold Nugget,alternative_assets,precious minerals,,0.0,0.45,0.0,2026-08-03
METEORITE,Lunar Meteorite,alternative_assets,precious minerals,,0.0,0.45,0.0,2026-08-03
1857COIN,1857 “Ship of Gold” Coin,alternative_assets,coins,,0.0,0.45,0.0,2026-08-03
JUSTINIAN,First Depiction of Christ on a Coin,alternative_assets,coins,,0.0,0.45,0.0,2026-08-03
CROESUS,561–546 BC First Gold Coin,alternative_assets,coins,,0.0,0.45,0.0,2026-08-03
SUPER21,1943 DC Comics Superman #21,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
BATMAN3,1940 DC Comics Batman #3,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
STARWARS1,1977 Marvel Star Wars #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
AVENGERS57,1968 Marvel The Avengers #57,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
FAN45,1962 Marvel Fantastic Four #5,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
BATMAN2,1940 DC Comics Batman #2,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
SPIDER1,1963 Marvel The Amazing Spider-Man #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
BATMAN181,1966 DC Comics Batman #181,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
PENGUIN,1941 DC Comics Detective Comics #58,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
SURFER4,1968 Marvel Silver Surfer #4,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
SPIDER129,1974 Marvel The Amazing Spider-Man #129,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
SHOWCASE4,1956 DC Comics Showcase #4,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
