asset_id,bid_ask_spread_pct,turnover,days_since_last_trade,days_with_zero_trades,realized_volatility,max_drawdown,return_since_offering,stale_mark_flag
rally-ulysses,,0.0,2238,24,2.6185925868679583,-0.5491803278688525,-0.3137254901960784,True
rally-walden,,0.0,1741,20,3.890710919858803,-0.43661971830985913,0.5121951219512195,True
rally-wildthing,,0.0,1587,18,3.573844780968251,-0.5314285714285715,-0.22777777777777775,True
rally-wzrdofoz,,0.0,1762,18,2.441788781085691,-0.5938566552901023,-0.59,True
rally-yoko,,0.0,2154,24,2.233499679097501,-0.6059113300492611,-0.474375,True
rally-93xj1,,0.0,2742,30,2.0507694935684193,-0.47448206164729667,-0.1515151515151515,True
rally-83fb1,,0.0,2803,30,2.4032854248233226,-0.5070422535211268,-0.2985714285714286,True
rally-63cc1,,0.0,2579,27,1.7675274925564814,-0.3717948717948718,0.09523809523809534,True
rally-65fm1,,0.0,2509,27,3.0154521917239343,-0.6607142857142857,-0.15393939393939393,True
rally-55ps1,,0.0,2845,31,1.8856384493739942,-0.5800000000000001,-0.3294117647058824,True
rally-65ag1,,0.0,2537,25,2.973410577841075,-0.6814814814814816,-0.4957983193277311,True
rally-82av1,,0.0,1503,17,3.136744808210558,-0.2792792792792792,-0.44999999999999996,True
rally-94fs1,,0.0,2378,25,2.0543279695937646,-0.43529411764705883,-0.19999999999999996,True
rally-94dv1,,0.0,2677,29,1.7473685696214272,-0.3826086956521739,0.04347826086956519,True
rally-99ss1,,0.0,2399,26,1.8185513068942107,-0.29328621908127206,0.19999999999999996,True
rally-69bm1,,0.0,2915,28,3.0062977225572958,-0.5337209302325581,-0.13043478260869568,True
rally-92ld1,,0.0,2677,28,2.8366321249064916,-0.5073770491803278,-0.2272727272727273,True
rally-92cc1,,0.0,2436,28,3.4776398087776066,-0.46319018404907975,0.5238095238095237,True
rally-61je1,,0.0,2488,27,2.9536596463484615,-0.6561052631578947,-0.2987804878048781,True
rally-61mg1,,0.0,2385,25,2.000336235123541,-0.6102941176470589,-0.36764705882352944,True
rally-72mc1,,0.0,2656,28,2.460625975737938,-0.5903614457831325,-0.4257028112449799,True
rally-91mv1,,0.0,2691,28,2.9531731200987026,-0.5896414342629481,-0.052631578947368474,True
rally-75ra1,,0.0,2574,26,2.7340822792847224,-0.48571428571428577,-0.14107142857142851,True
rally-77le1,,0.0,2937,33,2.147266282663481,-0.6477272727272727,0.03217503217503226,True
rally-11bm1,,0.0,2614,27,2.661700794027706,-0.4461538461538461,0.00952380952380949,True
rally-warhol1,,0.0,1371,16,2.4180630796455787,-0.3513513513513513,-0.4,True
rally-grateful1,,0.0,1222,14,2.1221325267822646,-0.5167785234899329,-0.28,True
rally-warhol2,,0.0,1311,15,2.659387033971173,-0.33684210526315794,-0.28,True
rally-sachs1,,0.0,1336,15,5.996425048987519,-0.8,-0.8,True
rally-andypele,,0.0,1222,14,2.0048065246649807,-0.40740740740740744,-0.4,True
rally-hirst1,,0.0,1392,15,4.161272007080531,-0.49382716049382713,-0.25,True
rally-gold1,,0.0,1385,16,8.337979659296437,-0.6666666666666667,1.5,True
rally-meteorite,,0.0,1630,19,1.6617999460788702,-0.39583333333333337,-0.6375,True
rally-1857coin,,0.0,1336,19,5.11465375729297,-0.36,2.2,True
rally-justinian,,0.0,1581,18,2.778734183884167,-0.4666666666666667,0.6666666666666667,True
rally-croesus,,0.0,1311,15,2.010508853935874,-0.20645161290322578,0.03750000000000009,True
rally-super21,,0.0,2126,24,7.039627271914985,-0.6666666666666666,0.95,True
rally-batman3,,0.0,2245,25,2.6476152267794837,-0.5294117647058824,0.08974358974358965,True
rally-starwars1,,0.0,2098,23,5.676035113329304,-0.688,1.15,True
rally-avengers57,,0.0,1930,22,3.7705860588269013,-0.5,-0.09999999999999998,True
rally-fan45,,0.0,1853,21,3.771597313082142,-0.51875,-0.03749999999999998,True
