date,ticker,name,universe,category,price,return_1d,return_7d,return_30d,volatility,sharpe,sortino,max_drawdown,source_quality
2026-07-02,SMURF,Rolex Submariner Smurf,collectibles,watches,18.05,0.03142857142857136,0.03142857142857136,0.03142857142857136,2.191009288417105,1.1093808053553293,1.6360689207463726,-0.4444444444444444,high
2026-07-02,SNOOPY,Omega Speedmaster Silver Snoopy,collectibles,watches,13.75,0.17021276595744683,0.17021276595744683,0.17021276595744683,3.003370636559922,0.39070165114624,0.9490724257868778,-0.5495495495495495,high
2026-07-02,SOBLACK,Hermès 30cm So Black Birkin,collectibles,handbags,35.05,-0.12375000000000003,-0.12375000000000003,-0.12375000000000003,3.658761965198751,0.32857976456009597,0.6009587101645572,-0.5292035398230088,high
2026-07-02,TKAM,Harper Lee - To Kill a Mockingbird (Signed First Edition),collectibles,books,12.5,0.25,0.25,0.25,3.056392268684368,0.8191904305489933,1.175170428626863,-0.5277777777777778,high
2026-07-02,TORNEK,Tornek-Rayville TR-900,collectibles,watches,2.35,-0.05999999999999994,-0.05999999999999994,-0.05999999999999994,2.372630726734384,-1.7717428741881023,-2.7957068539935785,-0.525,high
2026-07-02,TREASURE,Treasure Island (First Edition),collectibles,books,3.1,0.03333333333333344,0.03333333333333344,0.03333333333333344,4.523036348143119,2.6812837183347042,6.582407129345507,-0.5222222222222223,high
2026-07-02,TWOCITIES,Charles Dickens - A Tale of Two Cities (First Edition),collectibles,books,68.0,0.0,0.0,0.0,2.7920072494742545,0.6988901124924226,0.8726328334374147,-0.6862068965517241,high
2026-07-02,ULYSSES,James Joyce - Ulysses (Matisse Signed),collectibles,books,35.0,0.02941176470588225,0.02941176470588225,0.02941176470588225,2.6185925868679583,-0.6949405247369721,-0.8022693168593621,-0.5491803278688525,high
2026-07-02,WALDEN,Henry David Thoreau - Walden (First Edition),collectibles,books,15.5,0.0,0.0,0.0,3.890710919858803,3.049506140515381,7.462224206487079,-0.43661971830985913,high
2026-07-02,WILDTHING,Where the Wild Things Are (Inscribed First Edition),collectibles,books,6.95,0.0,0.0,0.0,3.573844780968251,0.720871508461548,1.3896167483193638,-0.5314285714285715,high
2026-07-02,WZRDOFOZ,The Wonderful Wizard of Oz (First Edition),collectibles,books,6.15,0.025000000000000133,0.025000000000000133,0.025000000000000133,2.441788781085691,-3.760442841818721,-4.870005125728767,-0.5938566552901023,high
2026-07-02,YOKO,Yoko Ono - Grapefruit (Signed First Edition),collectibles,books,42.05,0.0011904761904761862,0.0011904761904761862,0.0011904761904761862,2.233499679097501,-1.9242013110476306,-1.885738971770951,-0.6059113300492611,high
2026-07-02,93XJ1,1993 Jaguar XJ220,collectibles,cars,84.0,0.0,0.0,0.0,2.0507694935684193,0.2705486488169137,0.7932981046843463,-0.47448206164729667,high
2026-07-02,83FB1,1983 Ferrari 512 BBi,collectibles,cars,49.1,-0.027722772277227747,-0.027722772277227747,-0.027722772277227747,2.4032854248233226,-0.24577158990544068,-0.658173060065015,-0.5070422535211268,high
2026-07-02,63CC1,1963 Chevrolet Corvette Split Window,collectibles,cars,69.0,0.0,0.0,0.0,1.7675274925564814,0.9799909933146093,1.2779104537390724,-0.3717948717948718,high
2026-07-02,65FM1,1965 Mustang Fastback,collectibles,cars,34.9,0.011594202898550732,0.011594202898550732,0.011594202898550732,3.0154521917239343,1.0650605123321304,1.2690603937693388,-0.6607142857142857,high
2026-07-02,55PS1,1955 Porsche 356 Speedster,collectibles,cars,142.5,0.05555555555555558,0.05555555555555558,0.05555555555555558,1.8856384493739942,-1.3855288090736275,-2.0881739658839935,-0.5800000000000001,high
2026-07-02,WARHOL1,"1967 Andy Warhol Marilyn Monroe Print, Signed",collectibles,art,6.0,0.0,0.0,0.0,2.4180630796455787,-0.45034542748570294,-1.8820936186522528,-0.3513513513513513,high
2026-07-02,GRATEFUL1,1966 Grateful Dead Skeleton and Roses Poster,collectibles,art,7.2,-0.11111111111111105,-0.11111111111111105,-0.11111111111111105,2.1221325267822646,-5.384518580297729,-11.029012057636734,-0.5167785234899329,high
2026-07-02,WARHOL2,"1969 Andy Warhol Campbell’s Soup Print, Signed",collectibles,art,7.2,-0.18181818181818188,-0.18181818181818188,-0.18181818181818188,2.659387033971173,0.12802640156689865,0.2881616698322297,-0.33684210526315794,high
2026-07-02,SACHS1,Tom Sachs Rocket Factory “Game Changer”,collectibles,art,2.0,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,5.996425048987519,-0.9139116866198066,-2.5806563284657575,-0.8,high
2026-07-02,ANDYPELE,1977 Andy Warhol Pelé Polaroid,collectibles,art,2.4,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,2.0048065246649807,-3.9207022746733107,-7.622271425762313,-0.40740740740740744,high
2026-07-02,HIRST1,"Damien Hirst, The Currency, Painting",collectibles,art,3.0,-0.1428571428571429,-0.1428571428571429,-0.1428571428571429,4.161272007080531,0.6452276784088817,2.28033142777311,-0.49382716049382713,high
2026-07-02,GOLD1,172 GM Gold Nugget,collectibles,precious minerals,10.0,-0.64349376114082,-0.64349376114082,-0.64349376114082,8.337979659296437,4.161630496512927,10.109983499491694,-0.6666666666666667,high
2026-07-02,METEORITE,Lunar Meteorite,collectibles,precious minerals,7.25,-0.09375,-0.09375,-0.09375,1.6617999460788702,-2.547335454765364,-2.985977142333409,-0.39583333333333337,high
2026-07-02,1857COIN,1857 “Ship of Gold” Coin,collectibles,coins,16.0,-0.36,-0.36,-0.36,5.11465375729297,4.551479646649188,12.908376118647729,-0.36,high
2026-07-02,JUSTINIAN,First Depiction of Christ on a Coin,collectibles,coins,15.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,2.778734183884167,2.2325166739855726,5.363026996026929,-0.4666666666666667,high
2026-07-02,CROESUS,561–546 BC First Gold Coin,collectibles,coins,8.3,0.012195121951219745,0.012195121951219745,0.012195121951219745,2.010508853935874,1.8529955101645437,4.515317922458398,-0.20645161290322578,high
