asset_id,ticker,asset_name,category,subcategory,status,shares_outstanding,offering_date,offering_price_per_share,offering_market_cap,first_trade_date,exit_date,exit_price_per_share,exit_value_total,exit_type,source_reference,verified_at,notes,rally_url,currency,implied_offering_market_cap,warning_reason,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes,underlying_collectible,significance,publisher,publication_year,issue_number,grade
rally-aghowl,AGHOWL,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),books,rare books,trading,500.0,2020-03-01,38.0,19000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-03.,,,19000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-alice,ALICE,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),books,rare books,trading,12000.0,2020-09-01,1.0,12000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-09.,,,12000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-anmlfarm,ANMLFARM,George Orwell - Animal Farm (First Edition),books,rare books,trading,1000.0,2020-11-01,10.0,10000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-11.,,,10000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-aproak,APROAK,Audemars Piguet Royal Oak,watches,audemars piguet,exited,1000.0,2019-12-01,75.0,75000.0,,2021-06-30,110.0,110000.0,buyout,Rally App,2026-07-19T00:00:00Z,"Exited via buyout for $110,000 / $110.00 per share; Q2 2021 retains intra-quarter secondary observation separately.",,,75000.0,,inactive,buyout,completed,2021-06-30,,,,,,,,,,,,,,,,,,,
rally-baro,BARO,Barosaurus Skeleton,fossils,barosaurus,exited,200000.0,2025-09-01,62.5,12500000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Offering complete. Will not trade on Rally. Submitted offering_date was 2025-09.,,,12500000.0,,inactive,other_exit,completed,,,,,,,,,,,,,,,,,,,,
rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,handbags,birkin_lizard,exited,1000.0,2019-11-01,58.0,58000.0,,2025-04-10,68.0,68000.0,buyout,Rally App,2026-07-12T00:00:00Z,Exited via buyout. Submitted offering_date was 2019-11.,,,58000.0,exit_value_total_is_not_shareholder_proceeds,inactive,buyout,completed,2025-04-10,,,,,,,,,,,,,,,,,,,
rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,handbags,birkin_crocodile,trading,2000.0,2020-02-01,26.25,52500.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2020-02.,,,52500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,birkin_ostrich,trading,1000.0,2020-06-01,28.0,28000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2020-06.,,,28000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-bond1,BOND1,Ian Fleming - Casino Royale (First Edition),books,rare books,trading,1000.0,2020-06-01,39.0,39000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-06.,,,39000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-bondwatch,BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,trading,20000.0,2022-01-01,4.0,80000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Film-worn James Bond watch. Submitted offering_date was 2022-01.,,,80000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-bradbury,BRADBURY,Ray Bradbury - Fahrenheit 451 (Signed First Edition),books,rare books,trading,2000.0,2022-02-01,9.0,18000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2022-02.,,,18000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
